Gmt time,Open,High,Low,Close,Volume
20.02.2023 00:00:00.000,134.310,134.341,134.296,134.320,406.1
20.02.2023 00:01:00.000,134.320,134.321,134.272,134.297,390.63
20.02.2023 00:02:00.000,134.299,134.301,134.287,134.293,245.8
20.02.2023 00:03:00.000,134.292,134.297,134.280,134.285,351.94
20.02.2023 00:04:00.000,134.286,134.295,134.283,134.283,180.24
20.02.2023 00:05:00.000,134.282,134.288,134.270,134.279,234.23
20.02.2023 00:06:00.000,134.276,134.276,134.253,134.268,267.85
20.02.2023 00:07:00.000,134.265,134.274,134.252,134.274,361.93
20.02.2023 00:08:00.000,134.274,134.274,134.258,134.265,276.33
20.02.2023 00:09:00.000,134.263,134.303,134.258,134.303,390.41
20.02.2023 00:10:00.000,134.303,134.328,134.298,134.327,334.42
20.02.2023 00:11:00.000,134.326,134.337,134.311,134.325,314.85
20.02.2023 00:12:00.000,134.328,134.365,134.320,134.355,343.53
20.02.2023 00:13:00.000,134.355,134.363,134.333,134.339,381.75
20.02.2023 00:14:00.000,134.338,134.353,134.337,134.344,302.66
20.02.2023 00:15:00.000,134.341,134.342,134.320,134.340,290.29
20.02.2023 00:16:00.000,134.340,134.342,134.331,134.335,157.16
20.02.2023 00:17:00.000,134.332,134.370,134.332,134.365,271.71
20.02.2023 00:18:00.000,134.364,134.365,134.353,134.361,212.73
20.02.2023 00:19:00.000,134.362,134.362,134.343,134.348,250.7
20.02.2023 00:20:00.000,134.347,134.353,134.330,134.344,296.77
20.02.2023 00:21:00.000,134.345,134.351,134.341,134.341,212.35
20.02.2023 00:22:00.000,134.344,134.367,134.343,134.364,97.71
20.02.2023 00:23:00.000,134.363,134.365,134.337,134.340,198.9
20.02.2023 00:24:00.000,134.342,134.342,134.337,134.339,57.3
20.02.2023 00:25:00.000,134.337,134.352,134.333,134.346,369.83
20.02.2023 00:26:00.000,134.347,134.353,134.338,134.339,138.34
20.02.2023 00:27:00.000,134.340,134.354,134.340,134.350,158.66
20.02.2023 00:28:00.000,134.350,134.357,134.345,134.352,187.29
20.02.2023 00:29:00.000,134.362,134.379,134.362,134.373,304.71
20.02.2023 00:30:00.000,134.376,134.382,134.336,134.368,343.86
20.02.2023 00:31:00.000,134.369,134.384,134.366,134.379,141.41
20.02.2023 00:32:00.000,134.379,134.382,134.371,134.371,70.05
20.02.2023 00:33:00.000,134.372,134.372,134.356,134.361,114.71
20.02.2023 00:34:00.000,134.362,134.367,134.357,134.357,96.61
20.02.2023 00:35:00.000,134.360,134.391,134.350,134.384,140.06
20.02.2023 00:36:00.000,134.383,134.392,134.373,134.391,208.3
