Gmt time,Open,High,Low,Close,Volume
20.02.2023 00:00:00.000,1.06840,1.06849,1.06830,1.06831,368.81
20.02.2023 00:01:00.000,1.06831,1.06844,1.06824,1.06830,394.78
20.02.2023 00:02:00.000,1.06829,1.06834,1.06813,1.06819,320.87
20.02.2023 00:03:00.000,1.06819,1.06824,1.06809,1.06819,221.35
20.02.2023 00:04:00.000,1.06821,1.06821,1.06803,1.06809,188.51
20.02.2023 00:05:00.000,1.06810,1.06815,1.06802,1.06814,378.65
20.02.2023 00:06:00.000,1.06818,1.06854,1.06818,1.06845,352.16
20.02.2023 00:07:00.000,1.06848,1.06851,1.06833,1.06833,296.27
20.02.2023 00:08:00.000,1.06834,1.06836,1.06830,1.06830,100.98
20.02.2023 00:09:00.000,1.06828,1.06831,1.06790,1.06790,147.8
20.02.2023 00:10:00.000,1.06789,1.06801,1.06786,1.06791,168.84
20.02.2023 00:11:00.000,1.06790,1.06801,1.06785,1.06789,166.09
20.02.2023 00:12:00.000,1.06789,1.06794,1.06779,1.06780,195.77
20.02.2023 00:13:00.000,1.06779,1.06784,1.06776,1.06780,208.41
20.02.2023 00:14:00.000,1.06780,1.06780,1.06765,1.06769,202.51
20.02.2023 00:15:00.000,1.06771,1.06776,1.06769,1.06775,103.58
20.02.2023 00:16:00.000,1.06774,1.06777,1.06774,1.06775,48.6
20.02.2023 00:17:00.000,1.06775,1.06780,1.06774,1.06774,83.74
20.02.2023 00:18:00.000,1.06775,1.06778,1.06774,1.06775,102.17
20.02.2023 00:19:00.000,1.06776,1.06783,1.06774,1.06775,140.2
20.02.2023 00:20:00.000,1.06776,1.06776,1.06766,1.06773,271.15
20.02.2023 00:21:00.000,1.06773,1.06773,1.06769,1.06770,61.22
20.02.2023 00:22:00.000,1.06769,1.06770,1.06763,1.06769,166.84
20.02.2023 00:23:00.000,1.06768,1.06779,1.06768,1.06769,137.8
20.02.2023 00:24:00.000,1.06768,1.06771,1.06766,1.06771,84.68
20.02.2023 00:25:00.000,1.06768,1.06772,1.06765,1.06768,312.76
20.02.2023 00:26:00.000,1.06767,1.06773,1.06767,1.06769,234.37
